Algorithm            Matrix                         Blocks TPB    Time(ms)   Bandwidth    FLOPS     
SpMV-GPU-rowSplit    af23560.mtx                    N/A    N/A    0.028447   0.279417     0.034047  
SpMV-GPU-rowSplit    af_shell8.mtx                  N/A    N/A    0.762819   0.195350     0.023720  
SpMV-GPU-rowSplit    CurlCurl_4.mtx                 N/A    N/A    0.889364   0.284928     0.032491  
SpMV-GPU-rowSplit    cvxqp3.mtx                     N/A    N/A    0.016384   0.079797     0.008543  
SpMV-GPU-rowSplit    cyl6.mtx                       N/A    N/A    0.286474   0.020726     0.002541  
SpMV-GPU-rowSplit    human_gene2.mtx                N/A    N/A    5.529047   0.026185     0.003270  
SpMV-GPU-rowSplit    lhr10.mtx                      N/A    N/A    0.037847   0.100831     0.012293  
SpMV-GPU-rowSplit    mawi_201512012345.mtx          N/A    N/A    1983.391990 0.000263     0.000019  
SpMV-GPU-rowSplit    rajat31.mtx                    N/A    N/A    1.336341   0.277824     0.030406  
SpMV-GPU-rowSplit    spmsrtls.mtx                   N/A    N/A    0.016241   0.146231     0.016006  
SpMV-GPU-rowSplit    af23560.mtx                    N/A    N/A    0.026419   0.300860     0.036659  
SpMV-GPU-rowSplit    af23560.mtx                    N/A    N/A    0.030515   0.260476     0.031739  
SpMV-GPU-rowSplit    af_shell8.mtx                  N/A    N/A    1.389220   0.107266     0.013024  
SpMV-GPU-rowSplit    CurlCurl_4.mtx                 N/A    N/A    1.148948   0.220554     0.025150  
SpMV-GPU-rowSplit    cvxqp3.mtx                     N/A    N/A    0.016097   0.081218     0.008695  
SpMV-GPU-rowSplit    cyl6.mtx                       N/A    N/A    0.274944   0.021595     0.002648  
SpMV-GPU-rowSplit    human_gene2.mtx                N/A    N/A    6.246195   0.023179     0.002895  
SpMV-GPU-rowSplit    lhr10.mtx                      N/A    N/A    0.038543   0.099009     0.012071  
SpMV-GPU-rowSplit    mawi_201512012345.mtx          N/A    N/A    1979.933718 0.000264     0.000019  
SpMV-GPU-rowSplit    rajat31.mtx                    N/A    N/A    1.191137   0.311692     0.034112  
SpMV-GPU-rowSplit    spmsrtls.mtx                   N/A    N/A    0.015524   0.152983     0.016745  
SpMV-GPU-sequential  af23560.mtx                    128    1024   0.029778   0.266926     0.032525  
SpMV-GPU-sequential  af_shell8.mtx                  128    1024   3.131064   0.047593     0.005779  
SpMV-GPU-sequential  CurlCurl_4.mtx                 128    1024   7.308718   0.034672     0.003954  
SpMV-GPU-sequential  cvxqp3.mtx                     128    1024   0.012186   0.107290     0.011486  
SpMV-GPU-sequential  cyl6.mtx                       128    1024   0.009176   0.647052     0.079326  
SpMV-GPU-sequential  human_gene2.mtx                128    1024   0.628173   0.230478     0.028786  
SpMV-GPU-sequential  lhr10.mtx                      128    1024   0.028283   0.134928     0.016450  
SpMV-GPU-sequential  mawi_201512012345.mtx          128    1024   15.316965  0.034069     0.002484  
SpMV-GPU-sequential  rajat31.mtx                    128    1024   11.292324  0.032878     0.003598  
SpMV-GPU-sequential  spmsrtls.mtx                   128    1024   0.014254   0.166611     0.018236  
SpMV-GPU-sequential  af23560.mtx                    16     1024   0.108605   0.073187     0.008918  
SpMV-GPU-sequential  af_shell8.mtx                  16     1024   4.766802   0.031261     0.003796  
SpMV-GPU-sequential  CurlCurl_4.mtx                 16     1024   6.044652   0.041922     0.004780  
SpMV-GPU-sequential  cvxqp3.mtx                     16     1024   0.014950   0.087449     0.009362  
SpMV-GPU-sequential  cyl6.mtx                       16     1024   0.032260   0.184054     0.022564  
SpMV-GPU-sequential  human_gene2.mtx                16     1024   2.577142   0.056179     0.007017  
SpMV-GPU-sequential  lhr10.mtx                      16     1024   0.045507   0.083859     0.010224  
SpMV-GPU-sequential  mawi_201512012345.mtx          16     1024   14.079946  0.037062     0.002702  
SpMV-GPU-sequential  rajat31.mtx                    16     1024   6.384701   0.058150     0.006364  
SpMV-GPU-sequential  spmsrtls.mtx                   16     1024   0.011046   0.214991     0.023532  
SpMV-GPU-sequential  af23560.mtx                    1      1024   2.148045   0.003700     0.000451  
SpMV-GPU-sequential  af_shell8.mtx                  1      1024   40.627855  0.003668     0.000445  
SpMV-GPU-sequential  CurlCurl_4.mtx                 1      1024   68.384728  0.003706     0.000423  
SpMV-GPU-sequential  cvxqp3.mtx                     1      1024   0.370094   0.003533     0.000378  
SpMV-GPU-sequential  cyl6.mtx                       1      1024   1.743094   0.003406     0.000418  
SpMV-GPU-sequential  human_gene2.mtx                1      1024   37.581783  0.003852     0.000481  
SpMV-GPU-sequential  lhr10.mtx                      1      1024   0.449478   0.008490     0.001035  
SpMV-GPU-sequential  mawi_201512012345.mtx          1      1024   39.303234  0.013277     0.000968  
SpMV-GPU-sequential  rajat31.mtx                    1      1024   45.622062  0.008138     0.000891  
SpMV-GPU-sequential  spmsrtls.mtx                   1      1024   0.264384   0.008983     0.000983  
SpMV-GPU-sequential  af23560.mtx                    32     1024   0.049398   0.160908     0.019606  
SpMV-GPU-sequential  af_shell8.mtx                  32     1024   2.485699   0.059949     0.007279  
